Name,Latitude,Longitude,low,mid,high
28 - India,20.593684,78.96288,1.5,15,
"27 - Sonora, Mexico",29.2972247,-110.3308814,0.829,13.61,
"26 - Yinchuan, China",38.487193,106.230908,1.4,6.9,7.7
25 - Cape Verde,16.5388,-23.0418,5.5,11,
24 - Kuwait,29.31166,47.481766,6.44,,
"21 - New Delhi, India",28.6139391,77.2090212,6.25,,
"22 - Jazan, Saudi Arabia",16.8893586,42.5705674,10,,
23 - Poland,51.919438,19.145136,10,,
19 - Kuwait,29.31166,47.481766,6.4,,
"17 - Daggett, California, USA",34.8640316,-116.888098,3,,
"18 - Sonora, Mexico",29.2972247,-110.3308814,5,,
"16 - Yamaguchi, Japan",34.1859563,131.4706493,0.54,4,
14 - Australia,-25.274398,133.775136,4,,
15 - Indonesia,-0.789275,113.921327,4,,
13 - Puerto Rico,18.220833,-66.590149,3.6,,
"12 - Vellore, India",12.9165167,79.1324986,2,,
10 - Qatar,25.354826,51.183884,2.3,,
"6 - New Mexico, USA",34.5199402,-105.8700901,2,,
"7 - New Mexico, USA",34.5199402,-105.8700901,2,,
"8 - Crimea, Ukraine",44.952117,34.102417,0.4,1.75,
9 - Qatar,25.354826,51.183884,2,,
"4 - Baghdad, Iraq",33.3128057,44.3614875,1.15,0.45,
5 - Saudi Arabia,23.885942,45.079162,1.2,,
"3 - New Mexico, USA",34.5199402,-105.8700901,0.65,,
2 - Saudi Arabia,23.885942,45.079162,0.8,,
1 - Canary Islands,28.2915637,-16.6291304,0.6,,